station_id,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,directions,Category,LRS ID,LRS Loc Pt,latitude,longitude,Latest,Latest Date
5711,Steele,-,Other Principal Arterial,R,US 14,,,WEST OF,CSAH16,2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,179.0146367,44.057579,-93.117811,9354,1/1/2024
5729,Steele,-,Freeway & Expressway,U,US 14,,,WEST OF,CSAH6 (AUSTIN RD) IN OWATONN,2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,174.198357,44.05952182,-93.21393502,14101,11/11/2025
5794,Swift,-,Minor Arterial,R,US 12,,,WEST OF,US 59,2-WAY,EB/WB,Two-Way Roadway,0200000000000012-I,26.6909875,45.28296392,-95.91994734,1439,10/31/2025
5806,Swift,-,Minor Arterial,R,MN 9,,,WEST OF,MN 104,2-WAY,EB/WB,Two-Way Roadway,0300000000000009-I,24.5800538,45.3256269,-95.3787107,1503,10/27/2025
5873,Todd,-,Other Principal Arterial,R,US 71,,,,CR 84,2-WAY,NB/SB,Two-Way Roadway,0200000000000071-I,197.933656,46.1140908,-94.9168326,2748,10/30/2025
5943,Grant,-,Minor Arterial,R,MN 27,,,EAST OF,CSAH15 &CR79,2-WAY,EB/WB,Two-Way Roadway,0300000000000027-I,36.5345151,45.8034032,-96.2336187,1023,10/29/2025
597,Carlton,-,Interstate,R,I 35,,,,CSAH 6 (MAIN ST),2-WAY,NB/SB,Two-Way Roadway,0100000000000035-I,216.1202017,46.4529254,-92.7298363,20684,1/1/2024
5984,Wabasha,-,Other Principal Arterial,R,US 61,,,,"CSAH18, S OF KELLOGG",2-WAY,NB/SB,Two-Way Roadway,0200000000000061-I,52.3529485,44.2848476,-91.9890035,4618,10/30/2025
5997,Wabasha,-,Minor Arterial,R,US 63,,,,CSAH15,2-WAY,NB/SB,Two-Way Roadway,0200000000000063-I,71.954929,44.3821588,-92.370019,2628,10/31/2025
6067,Wadena,-,Other Principal Arterial,R,US 10,,,EAST OF,"141ST AVE, W OF VERNDALE",2-WAY,EB/WB,Two-Way Roadway,0200000000000010-I,94.9238679,46.4129169,-95.0547555,8060,10/31/2025
6224,Wilkin,Rothsay,Interstate,R,I 94,,,WEST OF,"CSAH11, NW OF ROTHSAY",2-WAY,NB/SB,Two-Way Roadway,0100000000000094-I,37.9903382,46.485049,-96.285693,14704,1/1/2024
6234,Wilkin,-,Minor Arterial,R,US 75,,,SOUTH OF,CSAH30 (150TH ST),2-WAY,NB/SB,Two-Way Roadway,0200000000000075-I,222.3062135,46.4707239,-96.7119898,1986,10/31/2025
6269,Winona,-,Interstate,R,I 90,,,EAST OF,MN 76,2-WAY,EB/WB,Two-Way Roadway,0100000000000090-I,260.3647172,43.9114428,-91.5435431,12561,10/31/2025
6288,Olmsted,-,Interstate,R,I 90,,,WEST OF,"CSAH32, SE OF EYOTA",2-WAY,EB/WB,Two-Way Roadway,0100000000000090-I,225.242209,43.9551437,-92.2051508,20169,10/31/2025
