Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
81215	FHA_55_130011_3	12	3147.6	4226	-0.255	0.255	17.76
81215	FHA_55_130011_3	13	3520.8	4505	-0.218	0.218	15.537
81215	FHA_55_130011_3	14	4559.2	4603	-0.01	0.01	0.647
81215	FHA_55_130011_3	15	5627.6	5175	0.087	0.08	6.158
81215	FHA_55_130011_3	16	6462.4	6109	0.058	0.055	4.457
81215	FHA_55_130011_3	17	5868	6293	-0.068	0.068	5.45
81215	FHA_55_130011_3	18	5141.6	5695	-0.097	0.097	7.518
81215	FHA_55_130011_3	19	4470	3903	0.145	0.127	8.763
81215	FHA_55_130011_3	20	4305.6	2871	0.5	0.333	23.949
81215	FHA_55_130011_3	21	3392.4	2325	0.459	0.315	19.964
81215	FHA_55_130011_3	22	2891.6	1836	0.575	0.365	21.712
81215	FHA_55_130011_3	23	2572.8	1298	0.982	0.495	28.977
81215	FHA_55_130011_3	24	2536.8	787	2.223	0.69	42.923
